,actual_y,pred_y
103,1.913584566,1.7345612
104,1.062876614,1.0019931
105,3.23681208,4.497628
106,1.419640734,2.2141907
107,1.328375127,1.798098
108,1.115758082,1.2478907
109,1.978883332,2.638238
110,-0.241266704,-0.29746306
111,1.722843669,1.4449432
112,2.101969549,3.0494313
113,0.244337365,0.4156195
114,1.56433564,1.6108066
115,1.441660832,1.5462905
116,1.656522912,2.094195
117,1.511005708,1.5701644
118,0.522060715,0.5195921
119,3.618677626,2.7040248
120,0.789751922,0.68407744
121,1.81160861,2.5265975
122,1.115530841,0.93635094
123,4.023895825,2.6971822
124,1.567227234,1.8003063
125,1.636599594,1.4114488
126,0.568995661,0.40075704
127,1.749983644,1.5329827
128,0.639046535,0.84899265
129,1.780732447,1.7076869
130,0.629173721,0.4801454
131,1.04239738,1.972718
132,4.592337415,4.1749463
133,2.881333063,2.3395393
134,1.667092876,2.5734863
135,2.562768534,2.6591415
136,0.253356623,0.29184216
137,2.810644595,3.3445349
138,-0.253868941,-0.2214626
139,0.329047975,0.39804703
140,2.791200523,2.0305178
141,0.927516128,1.5020285
142,3.932375852,2.6731722
143,1.974073155,1.8364413
144,0.072339018,0.21433577
145,3.406003139,2.0049202
146,0.298192616,0.031212687
147,2.658114795,1.7470474
148,5.424683213,3.5540726
149,0.49544932,0.49766636
150,0.346901998,0.07525569
151,3.693482619,4.242638
152,0.54703473,0.5600648
153,2.127933107,2.325491
154,1.495790954,1.6951661
155,-0.42284698,-0.3706379
156,0.635499573,0.9348096
157,0.922585847,0.7962555
158,1.355379904,1.8485743
159,1.921952408,1.7520095
160,1.973617347,1.9139507
161,1.841524509,1.456264
162,1.658058861,2.5115368
163,2.092011007,1.7442381
164,0.622488915,1.1269692
165,2.438966553,2.3481731
166,1.833407161,1.6702051
167,2.459750879,2.4221683
168,4.11784486,3.9269133
169,2.502203203,2.6425676
170,2.001027804,1.7405398
171,2.242662779,1.5935668
172,1.281692964,1.5068841
173,-0.087196106,0.19716448
174,2.697552802,1.9493725
175,2.312129699,1.6804305
176,2.508327338,1.7700975
177,2.711775556,2.1819685
178,2.672713307,1.3226954
179,0.661012412,0.41775796
180,2.125733314,1.1858288
181,6.320815484,3.5514207
182,0.857334149,1.1919955
183,1.081496161,1.3864591
184,-0.188512007,-0.10608518
185,2.342206062,2.4734285
186,0.807186228,0.90350676
187,1.760744966,1.7859931
188,2.391266107,1.4408691
189,2.700098979,2.3413987
190,8.842749573,5.271796
191,1.856034926,1.4275489
192,2.763490858,1.6231544
193,2.304805773,2.968021
194,1.339360999,0.86740357
195,3.749319169,2.6293418
196,1.340391934,1.5089835
197,0.794876944,1.138706
198,1.326802858,1.3493459
199,1.152847402,0.8912581
200,1.775320676,1.9411496
201,0.309557826,0.5989833
202,2.623776869,2.4621382
203,0.274348952,0.45594245
204,1.425524673,1.2525301
205,3.245236369,1.9999185
206,0.623245336,0.4341018
207,1.049964223,0.77363586
208,-0.252286474,-0.1883477
209,1.791450413,1.2014291
210,0.552886773,0.9214567
211,0.371586984,0.6293577
212,-0.192293105,-0.04656309
213,1.931507243,1.3167056
214,0.162677912,0.40187404
215,2.244740379,1.7127262
216,1.140729557,0.84289765
217,2.885339151,3.593612
218,0.568687083,0.64503706
219,2.17214816,2.1385374
220,1.535993422,1.1022661
221,2.443611595,3.4731917
222,1.635200008,1.8560381
223,3.329607647,2.5850449
224,2.107514106,1.5722088
225,3.939609476,3.4947531
226,2.358160725,1.8970122
227,1.880564636,1.5419714
228,0.235014726,0.16734105
229,2.88773893,2.2589355
230,-1.12726326,-0.57196355
231,2.619602374,2.5563407
232,1.283668731,1.4235272
233,2.466031159,1.9710352
234,-0.132326503,-0.044418514
235,3.926656007,3.8861346
236,0.629529953,0.54305714
237,5.959123634,4.5224466
238,1.37877952,2.3694403
239,2.830563436,4.725029
240,3.470607544,2.6990848
241,1.166481283,1.5445373
242,0.516843951,0.2905527
243,4.592944844,4.3812914
244,0.560554222,0.8741629
245,-0.542243782,-0.6991122
246,1.14563542,0.550267
247,2.144994936,2.8676815
248,2.102803857,1.6456139
249,1.502116782,1.5211167
250,1.657804317,1.3593383
251,1.189535404,1.699167
252,2.095048482,1.3659477
253,0.446951132,0.50742984
254,1.530753809,0.94881064
255,1.919524383,1.8689029
256,1.133317421,2.130044
257,0.479671716,0.81843376
258,2.525317413,2.3107967
259,0.746706009,0.71463245
260,0.035194295,0.10500285
261,0.494636946,1.0759071
262,1.221722469,1.9444728
263,4.368067013,3.0629926
264,1.471591248,1.3868858
265,2.059430297,2.5570168
266,3.6223225,3.1511312
267,0.018854145,-0.09523487
268,1.892880884,1.3644899
269,0.953871793,0.97443736
270,1.44456718,1.2637235
271,1.740970108,1.771473
272,0.340401209,0.23282352
273,0.17836324,0.36668894
274,6.490275371,4.3124666
275,0.392948165,0.509452
276,1.004083361,0.5654777
277,0.789524583,0.8240684
278,2.689334527,4.059176
